amfi_code,date,nav
122639,2026-03-31,85.6779
122639,2026-03-30,85.2599
122639,2026-03-27,86.4452
122639,2026-03-25,87.841
122639,2026-03-24,87.0006
122639,2026-03-23,86.5918
122639,2026-03-20,87.7908
122639,2026-03-19,87.7072
122639,2026-03-18,89.3756
122639,2026-03-17,89.0865
122639,2026-03-16,88.7044
122639,2026-03-13,88.1632
122639,2026-03-12,89.2729
122639,2026-03-11,89.727
122639,2026-03-10,90.4288
122639,2026-03-09,89.7713
122639,2026-03-06,90.7461
122639,2026-03-05,91.5897
122639,2026-03-04,91.0398
122639,2026-03-02,91.422
122639,2026-02-27,91.9544
122639,2026-02-26,92.7718
122639,2026-02-25,93.0828
122639,2026-02-24,92.6094
122639,2026-02-23,93.2424
122639,2026-02-20,92.9299
122639,2026-02-19,92.5092
122639,2026-02-18,93.4081
122639,2026-02-17,93.1314
122639,2026-02-16,92.9584
122639,2026-02-13,92.0658
122639,2026-02-12,93.0507
122639,2026-02-11,93.8017
122639,2026-02-10,94.1421
122639,2026-02-09,94.1506
122639,2026-02-06,93.7911
122639,2026-02-05,93.5631
122639,2026-02-04,94.0867
122639,2026-02-03,94.1941
122639,2026-02-02,93.1373
122639,2026-01-30,93.5212
122639,2026-01-29,93.9598
122639,2026-01-28,93.7598
122639,2026-01-27,93.1653
122639,2026-01-23,92.9409
122639,2026-01-22,93.3387
122639,2026-01-21,92.664
122639,2026-01-20,92.76
122639,2026-01-19,93.8504
122639,2026-01-16,93.8469
122639,2026-01-14,93.8527
122639,2026-01-13,94.1783
122639,2026-01-12,94.329
122639,2026-01-09,94.1439
122639,2026-01-08,94.7123
122639,2026-01-07,95.1942
122639,2026-01-06,95.3244
122639,2026-01-05,95.3229
122639,2026-01-02,95.2985
122639,2026-01-01,94.9335
122639,2025-12-31,95.1709
122639,2025-12-30,94.6116
122639,2025-12-29,94.7304
122639,2025-12-26,95.0482
122639,2025-12-24,95.3441
122639,2025-12-23,95.3305
122639,2025-12-22,94.9471
122639,2025-12-19,94.4162
122639,2025-12-18,94.1703
122639,2025-12-17,94.1026
122639,2025-12-16,94.4339
122639,2025-12-15,94.6742
122639,2025-12-12,94.7577
122639,2025-12-11,94.735
122639,2025-12-10,94.5178
122639,2025-12-09,94.5666
122639,2025-12-08,94.8059
122639,2025-12-05,95.3718
122639,2025-12-04,94.946
122639,2025-12-03,94.8473
122639,2025-12-02,94.7524
